State,Program Name (MEP Center),Host Organization,Staff Page
Alabama,Alabama Technology Network (ATN),Alabama Community College System,https://www.atn.org/about-atn/team-members/
Yes,Alaska MEP,University of Alaska Anchorage,https://alaska-mep.com/team-info-_1
Arizona,Arizona Manufacturing Extension Partnership (AZ MEP),Arizona Commerce Authority,https://www.azcommerce.com/programs/arizona-mep/who-we-are/our-expert-staff/
Arkansas,Arkansas Manufacturing Solutions (AMS),Arkansas Economic Development Commission (AEDC),https://www.mfgsolutions.org/our-team/
California,California Manufacturing Technology Consulting (CMTC),Nonprofit under NIST MEP,https://www.cmtc.com/cmtc-board-of-directors
Colorado,Manufacturer’s Edge,Independent nonprofit,https://manufacturersedge.com/
Connecticut,CONNSTEP,Private nonprofit,https://www.connstep.org/our-team/
Delaware,Delaware Manufacturing Extension Partnership (DEMEP),Delaware Technical Community College,https://www.demep.org/
Florida,FloridaMakes,Industry-led nonprofit,https://www.floridamakes.com/about-us/our-team/staff
Georgia,Georgia Manufacturing Extension Partnership (GaMEP),Georgia Tech,https://gamep.org/meet-the-gamep-team/
Hawaii,INNOVATE Hawaii,Hawaii Technology Development Corporation,https://www.htdc.org/our-team/
Idaho,TechHelp,Boise State University,https://www.techhelp.org/staff/
Illinois,Illinois Manufacturing Excellence Center (IMEC),Nonprofit,https://www.imec.org/
Indiana,Purdue MEP,Purdue University,https://mep.purdue.edu/about-us/staff/
Iowa,CIRAS (Center for Industrial Research and Service),Iowa State University,https://www.ciras.iastate.edu/staff-directory/
Kansas,Kansas Manufacturing Solutions (KMS),Private nonprofit,https://www.wearekms.com/about-us/meet-the-team
Kentucky,Advantage Kentucky Alliance (AKA),Western Kentucky University,https://www.advantageky.org/who-we-are
Louisiana,Manufacturing Extension Partnership of Louisiana (MEPOL),University of Louisiana at Lafayette,https://mepol.org/about-mepol
Maine,Maine MEP,Nonprofit,https://mainemep.org/who-we-are/team/
Maryland,Maryland MEP,Independent nonprofit,https://mdmep.org/our-team/
Massachusetts,MassMEP,Independent nonprofit,https://massmep.org/our-team/
Michigan,Michigan Manufacturing Technology Center (MMTC),Nonprofit,https://www.the-center.org/About-The-Center/Who-We-Are
Minnesota,Enterprise Minnesota,Nonprofit,https://www.enterpriseminnesota.org/leadership-staff/
Mississippi,Mississippi Manufacturers Association MEP (MMA-MEP),State manufacturing association,https://mma-web.org/About-Us/Staff
Missouri,Missouri Enterprise,Independent nonprofit,https://www.missourienterprise.org/about/people/leadership-manufacturers-improvement-quality-efficiency-nist-mep/
Montana,Montana Manufacturing Extension Center (MMEC),Montana State University,https://www.montana.edu/mmec/about/contact.html
Nebraska,Nebraska MEP,University of Nebraska-Lincoln,https://nemep.unl.edu/nebraska-mep/staff/
Nevada,Nevada Industry Excellence (NVIE),"University of Nevada, Reno & Las Vegas",https://www.manufacturenevada.com/team-and-advisors
New Hampshire,New Hampshire MEP,Private nonprofit,https://www.nhmep.org/
New Jersey,New Jersey Manufacturing Extension Program (NJMEP),Private nonprofit,https://www.njmep.org/
New Mexico,New Mexico MEP,Independent nonprofit,https://newmexicomep.org/contact/
New York,FuzeHub (statewide network),Empire State Development,https://fuzehub.com/our-team/
North Carolina,NC Manufacturing Extension Partnership (NCMEP),NC State University,https://ncmep.org/about/
North Dakota,Impact Dakota,Nonprofit,https://www.impactdakota.com/about-us/staff/
Ohio,Ohio MEP Network,Ohio Department of Development (multiple regional centers),https://www.manufacturingsuccess.org/team
Oklahoma,Oklahoma Manufacturing Alliance,Nonprofit,https://www.okalliance.com/about/our-team/
Oregon,Oregon Manufacturing Extension Partnership (OMEP),Nonprofit,https://omep.org/about-omep/our-people/
Pennsylvania,Pennsylvania MEP (part of Industrial Resource Centers network),DCED-supported nonprofits,https://pamep.org/about-us/
Rhode Island,Polaris MEP,URI Research Foundation,https://polarismep.org/about-polaris-mep/team/
South Carolina,SC Manufacturing Extension Partnership (SCMEP),Independent nonprofit,https://scmep.org/team/
South Dakota,South Dakota Manufacturing & Technology Solutions,South Dakota State University,http://www.sdmanufacturing.com/aboutus/staff/
Tennessee,Tennessee Manufacturing Extension Partnership (TMEP),University of Tennessee,https://cis.tennessee.edu/about-us/our-team-directory
Texas,TMAC (Texas MEP),University of Texas at Arlington,https://tmac.org/tmac-team/
Utah,Utah MEP,Utah State University,https://mep.utah.edu/team/
Vermont,Vermont Manufacturing Extension Center (VMEC),Vermont Technical College,https://vmec.org/about/our-team/
Virginia,GENEDGE,Nonprofit supported by VEDP,https://genedge.org/who-we-are/our-team/
Washington,Impact Washington,Nonprofit,https://www.impactwashington.org/leadership-team
West Virginia,West Virginia Manufacturing Extension Partnership (WVMEP),WVU Research Corporation,https://industrialextension.statler.wvu.edu/
Wisconsin,Wisconsin Manufacturing Extension Partnership (WMEP),Nonprofit,https://wmep.org/about/staff/
Wyoming,Manufacturing Works,University of Wyoming,https://manufacturing-works.com/about-us/team/
Puerto Rico,PRiMEX,Independent nonprofit,https://primexpr.org/about/
