State,Program Name (MEP Center),Host Organization,Staff Page
Alabama,Alabama Technology Network (ATN),Alabama Community College System,
Alaska,Alaska MEP,University of Alaska Anchorage,
Arizona,Arizona Manufacturing Extension Partnership (AZ MEP),Arizona Commerce Authority,
Arkansas,Arkansas Manufacturing Solutions (AMS),Arkansas Economic Development Commission (AEDC),https://www.mfgsolutions.org/our-team/
California,California Manufacturing Technology Consulting (CMTC),Nonprofit under NIST MEP,
Colorado,Manufacturer’s Edge,Independent nonprofit,
Connecticut,CONNSTEP,Private nonprofit,
Delaware,Delaware Manufacturing Extension Partnership (DEMEP),Delaware Technical Community College,
Florida,FloridaMakes,Industry-led nonprofit,
Georgia,Georgia Manufacturing Extension Partnership (GaMEP),Georgia Tech,
Hawaii,INNOVATE Hawaii,Hawaii Technology Development Corporation,
Idaho,TechHelp,Boise State University,
Illinois,Illinois Manufacturing Excellence Center (IMEC),Nonprofit,
Indiana,Purdue MEP,Purdue University,
Iowa,CIRAS (Center for Industrial Research and Service),Iowa State University,
Kansas,Kansas Manufacturing Solutions (KMS),Private nonprofit,
Kentucky,Advantage Kentucky Alliance (AKA),Western Kentucky University,
Louisiana,Manufacturing Extension Partnership of Louisiana (MEPOL),University of Louisiana at Lafayette,
Maine,Maine MEP,Nonprofit,
Maryland,Maryland MEP,Independent nonprofit,
Massachusetts,MassMEP,Independent nonprofit,
Michigan,Michigan Manufacturing Technology Center (MMTC),Nonprofit,
Minnesota,Enterprise Minnesota,Nonprofit,
Mississippi,Mississippi Manufacturers Association MEP (MMA-MEP),State manufacturing association,
Missouri,Missouri Enterprise,Independent nonprofit,
Montana,Montana Manufacturing Extension Center (MMEC),Montana State University,
Nebraska,Nebraska MEP,University of Nebraska-Lincoln,
Nevada,Nevada Industry Excellence (NVIE),"University of Nevada, Reno & Las Vegas",
New Hampshire,New Hampshire MEP,Private nonprofit,
New Jersey,New Jersey Manufacturing Extension Program (NJMEP),Private nonprofit,
New Mexico,New Mexico MEP,Independent nonprofit,
New York,FuzeHub (statewide network),Empire State Development,
North Carolina,NC Manufacturing Extension Partnership (NCMEP),NC State University,
North Dakota,Impact Dakota,Nonprofit,
Ohio,Ohio MEP Network,Ohio Department of Development (multiple regional centers),
Oklahoma,Oklahoma Manufacturing Alliance,Nonprofit,
Oregon,Oregon Manufacturing Extension Partnership (OMEP),Nonprofit,
Pennsylvania,Pennsylvania MEP (part of Industrial Resource Centers network),DCED-supported nonprofits,
Rhode Island,Polaris MEP,URI Research Foundation,
South Carolina,SC Manufacturing Extension Partnership (SCMEP),Independent nonprofit,
South Dakota,South Dakota Manufacturing & Technology Solutions,South Dakota State University,
Tennessee,Tennessee Manufacturing Extension Partnership (TMEP),University of Tennessee,
Texas,TMAC (Texas MEP),University of Texas at Arlington,
Utah,Utah MEP,Utah State University,
Vermont,Vermont Manufacturing Extension Center (VMEC),Vermont Technical College,
Virginia,GENEDGE,Nonprofit supported by VEDP,
Washington,Impact Washington,Nonprofit,
West Virginia,West Virginia Manufacturing Extension Partnership (WVMEP),WVU Research Corporation,
Wisconsin,Wisconsin Manufacturing Extension Partnership (WMEP),Nonprofit,
Wyoming,Manufacturing Works,University of Wyoming,
Puerto Rico,PRiMEX,Independent nonprofit,
